datetime,station,PM2.5,pm25_24h,aqi_class
2013-03-04 04:00:00,Aotizhongxin,7.0,60.333333333333336,Unhealthy
2013-03-04 05:00:00,Aotizhongxin,10.0,56.541666666666664,Unhealthy
2013-03-04 06:00:00,Aotizhongxin,13.0,53.291666666666664,Unhealthy_for_Sensitive_Groups
2013-03-04 07:00:00,Aotizhongxin,14.0,50.583333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 08:00:00,Aotizhongxin,13.0,47.916666666666664,Unhealthy_for_Sensitive_Groups
2013-03-04 09:00:00,Aotizhongxin,15.0,45.083333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 10:00:00,Aotizhongxin,16.0,41.833333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 11:00:00,Aotizhongxin,18.0,38.583333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 12:00:00,Aotizhongxin,13.0,35.333333333333336,Moderate
2013-03-04 13:00:00,Aotizhongxin,3.0,31.375,Moderate
2013-03-04 14:00:00,Aotizhongxin,3.0,28.5,Moderate
2013-03-04 15:00:00,Aotizhongxin,10.0,26.916666666666668,Moderate
2013-03-04 16:00:00,Aotizhongxin,14.0,26.333333333333332,Moderate
2013-03-04 17:00:00,Aotizhongxin,20.0,26.083333333333332,Moderate
2013-03-04 18:00:00,Aotizhongxin,25.0,26.125,Moderate
2013-03-04 19:00:00,Aotizhongxin,31.0,26.625,Moderate
2013-03-04 20:00:00,Aotizhongxin,34.0,25.541666666666668,Moderate
2013-03-04 21:00:00,Aotizhongxin,40.0,22.333333333333332,Moderate
2013-03-04 22:00:00,Aotizhongxin,51.0,22.208333333333332,Moderate
2013-03-04 23:00:00,Aotizhongxin,58.0,22.708333333333332,Moderate
2013-03-05 00:00:00,Aotizhongxin,71.0,23.916666666666668,Moderate
2013-03-05 01:00:00,Aotizhongxin,91.0,25.666666666666668,Moderate
2013-03-05 02:00:00,Aotizhongxin,100.0,28.416666666666668,Moderate
2013-03-05 03:00:00,Aotizhongxin,103.0,32.208333333333336,Moderate
